シンプルリサイズ,http://android.akjava.com/html5apps/resize.html,resize selected image
グリッドペイント,http://android.akjava.com/html5apps/gridpaint.html,paint image with grid
透明画像,http://android.akjava.com/html5apps/transparent.html,transparent image
Gifメーカー,http://android.akjava.com/html5apps/gifmaker.html,make gif
Gifプレイヤー,http://android.akjava.com/html5apps/gifplayer.html,play gif
シンプルロゴ,http://android.akjava.com/html5apps/simplelogo.html,create title image
その他のアプリ..,http://android.akjava.com/html5apps/index.html,,
